Date,PSEI,JKSE,USD/PHP,USD/IDR,Fed Fund Rate
2/1/1997,3154.47998,638.1,26.285,2361.5,5.79
3/1/1997,3169.26001,646.19,26.29,2362,5.17
6/1/1997,3186.370117,653.96,26.288,2362.2,5.26
7/1/1997,3195.469971,660.37,26.303,2362.5,5.2
8/1/1997,3206.98999,662.21,26.325,2363,5.2
9/1/1997,3223.360107,657.43,26.345,2363,5.25
10/1/1997,3262.139893,657.87,26.337,2363,5.17
13/1/97,3270.310059,656.09,26.328,2368.5,5.24
14/1/97,3261.719971,656.65,26.306,2378,5.14
15/1/97,3258.52002,656.07,26.297,2378,5.22
16/1/97,3290.189941,658.7,26.308,2372.5,5.26
17/1/97,3294.310059,663.97,26.305,2371.5,5.14
20/1/97,3280.850098,674.13,26.315,2369,5.14
21/1/97,3279.22998,680.88,26.305,2370.8,5.33
22/1/97,3275.830078,686.12,26.305,2370.5,5.21
23/1/97,3328.379883,684.98,26.335,2372.5,5.24
24/1/97,3332.530029,678.91,26.34,2374,5.13
27/1/97,3323.100098,684.98,26.34,2372,5.33
28/1/97,3341.98999,689.97,26.34,2370,5.27
29/1/97,3373.610107,691.34,26.34,2371.5,5.05
30/1/97,3392.76001,687.29,26.345,2373.5,5.3
31/1/97,3421.909912,691.12,26.35,2376.5,5.37
3/2/1997,3447.600098,687.47,26.335,2373.5,5.36
4/2/1997,3398.889893,680.33,26.33,2374,5.18
5/2/1997,3396.040039,686.86,26.34,2373.5,5.17
6/2/1997,3371.129883,694.28,26.34,2377,5.22
7/2/1997,3381.840088,694.28,26.345,2377.5,5.08
10/2/1997,3386.02002,694.28,26.35,2378,5.18
11/2/1997,3358.699951,694.28,26.345,2376.5,5.07
12/2/1997,3339.830078,701.05,26.345,2377.5,4.63
13/2/97,3335.72998,707.37,26.345,2379.5,5.19
14/2/97,3322.300049,704.48,26.345,2381.5,5.15
17/2/97,3314.840088,701.76,26.347,2384.5,5.15
18/2/97,3306.429932,695.22,26.34,2386,5.55
19/2/97,3315.52002,694.88,26.343,2389,5.19
20/2/97,3310.429932,698.67,26.343,2388.5,5.15
21/2/97,3301.97998,696.5,26.343,2388,5.08
24/2/97,3338.669922,697.37,26.34,2391.5,5.22
25/2/97,3363.080078,701.31,26.341,2388.8,5.28
26/2/97,3349.820068,712.61,26.334,2391.5,5.2
27/2/97,3333.939941,709.92,26.334,2393.2,5.29
28/2/97,3315.280029,705.37,26.331,2396.5,5.5
3/3/1997,3320.409912,700.11,26.325,2396,5.4
4/3/1997,3302.820068,695.52,26.325,2393,5.16
5/3/1997,3292.300049,686.16,26.322,2392,5.15
6/3/1997,3279.820068,683.11,26.322,2394.5,5.22
7/3/1997,3286.449951,683.81,26.322,2394,5.21
10/3/1997,3289.340088,688.05,26.33,2396,5.24
11/3/1997,3280.98999,687.93,26.322,2396,5.21
12/3/1997,3270.639893,682.61,26.322,2398.5,5.01
13/3/97,3261.23999,669.99,26.322,2399.5,5.21
14/3/97,3234.790039,666.84,26.332,2402,5.15
17/3/97,3231.860107,670.94,26.341,2404,5.39
18/3/97,3215.639893,659.44,26.336,2405.5,5.42
19/3/97,3200.610107,663.17,26.345,2405,5.36
20/3/97,3206.669922,663.13,26.333,2406,5.32
21/3/97,3201.649902,656.11,26.344,2405,5.28
24/3/97,3222.459961,649.62,26.344,2404,5.47
25/3/97,3204.120117,657.29,26.355,2397,5.57
26/3/97,3223.139893,659.35,26.367,2401.5,5.61
27/3/97,3223.139893,662.24,26.367,2401.5,5.68
28/3/97,3223.139893,662.24,26.395,2401,5.52
31/3/97,3222.97998,662.24,26.365,2401,7.07
1/4/1997,3171.790039,652.01,26.367,2399.5,6.18
2/4/1997,3162.209961,650.88,26.37,2403.5,5.5
3/4/1997,3104.77002,641.62,26.37,2404.5,5.52
4/4/1997,3060.590088,637.43,26.365,2404,5.32
7/4/1997,2990.959961,636.64,26.368,2405,5.43
8/4/1997,2909.300049,638.22,26.375,2405.5,5.34
9/4/1997,2909.300049,638.22,26.37,2405,5.31
10/4/1997,2949.02002,635.56,26.365,2406,5.51
11/4/1997,2976.780029,637.15,26.363,2405.8,5.4
14/4/97,2932.840088,635.17,26.362,2403.5,5.49
15/4/97,2949.459961,631.27,26.36,2406,5.61
16/4/97,2960.969971,632.82,26.355,2407.5,5.56
17/4/97,2927.870117,637.59,26.355,2410,5.49
18/4/97,2944.97998,637.59,26.365,2409.5,5.35
21/4/97,2944.97998,642.26,26.37,2414.5,5.34
22/4/97,2860.449951,646.24,26.368,2420,5.5
23/4/97,2913.560059,651.45,26.375,2419.5,5.95
24/4/97,2906.330078,652.98,26.37,2431.5,5.62
25/4/97,2872.370117,652.48,26.37,2436,5.53
28/4/97,2837.310059,656.53,26.39,2429,5.72
29/4/97,2708.439941,647.23,26.37,2426,5.53
30/4/97,2648.169922,652.05,26.4,2430,5.82
1/5/1997,2648.169922,650.46,26.375,2432,5.73
2/5/1997,2605.649902,647.89,26.374,2432,5.47
5/5/1997,2736.419922,652.79,26.367,2426,5.49
6/5/1997,2776.530029,659.6,26.39,2425,5.5
7/5/1997,2694.399902,666.84,26.363,2431.5,5.7
8/5/1997,2682.100098,666.84,26.36,2428.5,5.66
9/5/1997,2671.389893,673.69,26.36,2428.5,5.46
12/5/1997,2671.389893,675.81,26.365,2427.5,5.49
13/5/97,2677.110107,672.87,26.367,2429.5,5.42
14/5/97,2705.919922,670.29,26.373,2439.5,5.45
15/5/97,2631.090088,656.99,26.373,2446.5,5.71
16/5/97,2576.129883,657.07,26.37,2436.5,5.44
19/5/97,2509.360107,652.55,26.371,2442.5,5.55
20/5/97,2499.379883,652.83,26.373,2442.5,5.51
21/5/97,2538.969971,654.09,26.374,2442.2,5.56
22/5/97,2586.689941,654.09,26.38,2444.5,5.48
23/5/97,2598.199951,658.52,26.38,2441.5,5.36
26/5/97,2598.199951,663.2,26.38,2440.5,5.36
27/5/97,2710.909912,668.85,26.375,2440.5,5.59
28/5/97,2722.669922,672.5,26.372,2440.5,5.52
